Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
P34730	BMH2_YEAST	BMH2 YDR099W YD8557.08	273	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P34756	FAB1_YEAST	FAB1 SVL7 YFR019W	2278	endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; PAS complex [GO:0070772]
P34758	SCD5_YEAST	SCD5 FTB1 YOR329C	872	actin cortical patch [GO:0030479]; membrane [GO:0016020]; nucleus [GO:0005634]
P34760	TSA1_YEAST	TSA1 TPX1 TSA ZRG14 YML028W	196	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P34761	WHI3_YEAST	WHI3 YNL197C N1382	661	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; endoplasmic reticulum membrane [GO:0005789]; P-body [GO:0000932]
P34909	NOT4_YEAST	MOT2 CCL1 NOT4 SIG1 SSF1 YER068W	587	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; cytosolic ribosome [GO:0022626]; nucleus [GO:0005634]
P35056	PEX5_YEAST	PEX5 PAS10 YDR244W YD8419.11	612	cytosol [GO:0005829]; peroxisomal importomer complex [GO:1990429]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
P35169	TOR1_YEAST	TOR1 DRR1 YJR066W J1803	2470	cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; TOR complex [GO:0038201]; TORC1 complex [GO:0031931]
P35176	CYPD_YEAST	CPR5 CYP5 CYPD YDR304C D9740.14	225	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]
P35177	SPT7_YEAST	SPT7 YBR081C YBR0739	1332	mitochondrion [GO:0005739]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]
P35179	SC61G_YEAST	SSS1 YDR086C D4475	80	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear inner membrane [GO:0005637]; rough endoplasmic reticulum membrane [GO:0030867]; Sec61 translocon complex [GO:0005784]; Ssh1 translocon complex [GO:0071261]; translocon complex [GO:0071256]
P35180	TOM20_YEAST	TOM20 MAS20 MOM19 YGR082W	183	mitochondrial outer membrane [GO:0005741]; mitochondrial outer membrane translocase complex [GO:0005742]; mitochondrion [GO:0005739]
P35181	AP1S1_YEAST	APS1 YAP19 YLR170C L9470.16	156	AP-1 adaptor complex [GO:0030121]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleus [GO:0005634]
P35182	PP2C1_YEAST	PTC1 TPD1 YDL006W D2925	281	cytoplasm [GO:0005737]; nucleus [GO:0005634]; peroxisome [GO:0005777]
P35184	SQT1_YEAST	SQT1 YIR012W YIB12W	431	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P35187	SGS1_YEAST	SGS1 TPS1 YMR190C YM9646.02C	1447	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RecQ family helicase-topoisomerase III complex [GO:0031422]
P35189	TAF14_YEAST	TAF14 ANC1 CST10 SWP29 TAF30 TFG3 YPL129W	244	chromatin [GO:0000785]; Ino80 complex [GO:0031011]; mediator complex [GO:0016592]; NuA3 histone acetyltransferase complex [GO:0033100]; NuA3a histone acetyltransferase complex [GO:1990467]; NuA3b histone acetyltransferase complex [GO:1990468]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIF complex [GO:0005674]
P35191	MDJ1_YEAST	MDJ1 YFL016C	511	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P35192	MAC1_YEAST	MAC1 CUA1 YMR021C YM9711.11C	417	nucleus [GO:0005634]
P35193	ATG19_YEAST	ATG19 CVT19 YOL082W O0980 YOL01	415	Cvt complex [GO:0034270]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
P35194	UTP20_YEAST	UTP20 YBL004W YBL0101	2493	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]
P35196	RER2_YEAST	RER2 YBR002C YBR0107	286	dehydrodolichyl diphosphate synthase complex [GO:1904423]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; membrane [GO:0016020]
P35197	GCS1_YEAST	GCS1 YDL226C	352	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; trans-Golgi network [GO:0005802]
P35200	UPS2_YEAST	UPS2 AIM30 GEP1 MSF1 YLR168C L9470.15	230	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P35201	CENPC_YEAST	MIF2 YKL089W	549	condensed chromosome, centromeric region [GO:0000779]; kinetochore [GO:0000776]; nucleus [GO:0005634]
P35203	CBF3C_YEAST	CTF13 CBF3C YMR094W YM6543.01 YM9582.19	478	CBF3 complex [GO:0031518]; kinetochore [GO:0000776]
P35206	CSG2_YEAST	CSG2 CLS2 YBR036C YBR0404	410	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; mannosyltransferase complex [GO:0031501]
P35207	SKI2_YEAST	SKI2 YLR398C L8084.17	1287	cytoplasm [GO:0005737]; Ski complex [GO:0055087]
P35208	SPT10_YEAST	SPT10 CRE1 SUD1 YJL127C J0702	640	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]
P35688	LRG1_YEAST	LRG1 YDL240W	1017	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; site of polarized growth [GO:0030427]
P35691	TCTP_YEAST	TMA19 MMI1 YKL056C YKL312	167	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; microtubule [GO:0005874]; mitochondrion [GO:0005739]
P35718	RPC8_YEAST	RPC25 YKL144C UNF1 YKL1	212	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]
P35728	MPE1_YEAST	MPE1 YKL059C YKL316	441	cytosol [GO:0005829]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]
P35729	NU120_YEAST	NUP120 RAT2 YKL057C YKL313 YKL314	1037	chromosome, telomeric region [GO:0000781]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]
P35732	DEF1_YEAST	DEF1 RIP1 VID31 YKL054C YKL308	738	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P35734	ASK1_YEAST	ASK1 YKL052C YKL306	292	DASH complex [GO:0042729]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; mitotic spindle pole body [GO:0044732]
P35817	BDF1_YEAST	BDF1 YLR399C L8084.18	686	chromatin [GO:0000785]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
P35843	HES1_YEAST	HES1 OSH5 YOR237W O5234	434	cellular bud neck [GO:0005935]; cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
P35844	KES1_YEAST	KES1 BSR3 OSH4 YPL145C LPI3C P2614	434	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; membrane [GO:0016020]
P35845	OSH1_YEAST	SWH1 OSH1 YAR042W YAR044W	1188	cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nucleus-vacuole junction [GO:0071561]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
P35997	RS27A_YEAST	RPS27A YKL156W	82	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P35999	PMIP_YEAST	OCT1 MIP1 YKL134C	772	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P36000	AP1B1_YEAST	APL2 YKL135C	726	AP-1 adaptor complex [GO:0030121]; clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P36003	NNK1_YEAST	NNK1 YKL171W YKL635	928	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36005	KDX1_YEAST	KDX1 MLP1 YKL161C YKL615	433	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36006	MYO3_YEAST	MYO3 YKL129C	1272	actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; cell periphery [GO:0071944]; cell tip [GO:0051286]; cytoplasm [GO:0005737]; microvillus [GO:0005902]; myosin I complex [GO:0045160]; plasma membrane [GO:0005886]
P36007	LTHAD_YEAST	SRY1 YKL218C	326	
P36008	EF1G2_YEAST	TEF4 EFC1 YKL081W	412	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; eukaryotic translation elongation factor 1 complex [GO:0005853]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ribosome [GO:0005840]
P36009	DHR2_YEAST	DHR2 YKL078W YKL408	735	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
P36010	NDK_YEAST	YNK1 NDK1 YNK YKL067W YKL333	153	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P36012	CENPA_YEAST	CSE4 CSL2 YKL049C YKL262	229	2-micrometer circle DNA [GO:0005729]; CENP-A containing nucleosome [GO:0043505]; condensed chromosome, centromeric region [GO:0000779]; kinetochore [GO:0000776]; nucleus [GO:0005634]; peroxisome [GO:0005777]
P36014	GPX1_YEAST	GPX1 YKL026C	167	cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; peroxisomal matrix [GO:0005782]
P36015	YKT6_YEAST	YKT6 YKL196C	200	autophagosome membrane [GO:0000421]; cis-Golgi network membrane [GO:0033106]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; Golgi cis cisterna membrane [GO:1990674]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]; vacuolar membrane [GO:0005774]
P36016	LHS1_YEAST	LHS1 YKL073W YKL355	881	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]
P36017	VPS21_YEAST	VPS21 VPS12 VPT12 YPT21 YPT51 YOR089C YOR3154C	210	cytosol [GO:0005829]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome membrane [GO:0010008]; late endosome [GO:0005770]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P36018	YPT52_YEAST	YPT52 YKR014C YK112	234	cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; late endosome [GO:0005770]; plasma membrane [GO:0005886]
P36019	YPT53_YEAST	YPT53 YNL093W N2223	220	cytosol [GO:0005829]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; late endosome [GO:0005770]; plasma membrane [GO:0005886]
P36022	DYHC_YEAST	DYN1 DHC1 YKR054C	4092	astral microtubule [GO:0000235]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; spindle pole body [GO:0005816]
P36024	SIS2_YEAST	SIS2 HAL3 YKR072C	562	chromatin [GO:0000785]; CoA-synthesizing protein complex [GO:1990143]; nucleus [GO:0005634]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]
P36027	MID2_YEAST	MID2 KAI1 SMS1 YLR332W L8543.19	376	fungal-type vacuole [GO:0000324]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
P36033	FRE2_YEAST	FRE2 YKL220C	711	fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]
P36035	JEN1_YEAST	JEN1 YKL217W	616	cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P36037	DOA1_YEAST	DOA1 UFD3 ZZZ4 YKL213C	715	cytoplasm [GO:0005737]; cytoplasmic side of mitochondrial outer membrane [GO:0032473]; endosome membrane [GO:0010008]; nucleus [GO:0005634]
P36041	EAP1_YEAST	EAP1 YKL204W	632	cytoplasmic stress granule [GO:0010494]
P36044	MNN4_YEAST	MNN4 YKL201C YKL200C	1178	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]
P36046	MIA40_YEAST	MIA40 TIM40 YKL195W	403	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P36047	SDS22_YEAST	SDS22 EGP1 YKL193C	338	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]
P36048	SN114_YEAST	SNU114 GIN10 YKL173W YKL637	1008	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; U2-type catalytic step 2 spliceosome [GO:0071007]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]
P36049	EBP2_YEAST	EBP2 YKL172W YKL636	427	nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]
P36051	MCD4_YEAST	MCD4 FSR2 SSU21 ZRG16 YKL165C YKL619	919	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; Golgi membrane [GO:0000139]; vacuolar membrane [GO:0005774]
P36056	RT22_YEAST	RSM22 YKL155C YKL610	628	mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
P36057	SRPB_YEAST	SRP102 YKL154W YKL609	244	endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; signal recognition particle receptor complex [GO:0005785]
P36060	MCR1_YEAST	MCR1 YKL150W YKL605	302	mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P36068	SHE2_YEAST	SHE2 YKL130C	246	cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P36075	CUE2_YEAST	CUE2 YKL090W	443	cytosolic ribosome [GO:0022626]
P36076	CAB3_YEAST	CAB3 YKL088W	571	CoA-synthesizing protein complex [GO:1990143]; cytoplasm [GO:0005737]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]
P36077	SRX1_YEAST	SRX1 YKL086W	127	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36080	RRP14_YEAST	RRP14 YKL082C	434	nucleolus [GO:0005730]
P36081	PSG1_YEAST	PSG1 YKL077W	392	COPI-coated vesicle membrane [GO:0030663]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]
P36084	MUD2_YEAST	MUD2 YKL074C YKL358	527	commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]
P36088	FRMSR_YEAST	YKL069W YKL340	180	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P36091	DCW1_YEAST	DCW1 YKL046C YKL259	449	cellular bud [GO:0005933]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
P36094	SPC42_YEAST	SPC42 YKL042W YKL255	363	central plaque of spindle pole body [GO:0005823]; intermediate layer of spindle pole body [GO:0005821]; nucleus [GO:0005634]
P36095	VPS24_YEAST	VPS24 DID3 YKL041W YKL254	224	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]
P36096	TUL1_YEAST	TUL1 YKL034W YKL247	758	Dsc E3 ubiquitin ligase complex [GO:0044695]; endomembrane system [GO:0012505]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]
P36100	T2EA_YEAST	TFA1 YKL028W	482	mitochondrion [GO:0005739]; nucleus [GO:0005634]; transcription factor TFIIE complex [GO:0005673]; transcription preinitiation complex [GO:0097550]
P36102	PAN3_YEAST	PAN3 ECM35 YKL025C	679	cytoplasm [GO:0005737]; P-body [GO:0000932]; PAN complex [GO:0031251]
P36104	SWD2_YEAST	SWD2 CPS35 SAF37 YKL018W	329	chromosome, telomeric region [GO:0000781]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
P36105	RL14A_YEAST	RPL14A YKL006W YKL153	138	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]
P36107	AUR1_YEAST	AUR1 YKL004W	401	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; inositol phosphoceramide synthase complex [GO:0070916]
P36108	DID4_YEAST	DID4 CHM2 GRD7 REN1 VPL2 VPS2 VPT14 YKL002W	232	cytoplasm [GO:0005737]; ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]
P36112	MIC60_YEAST	MIC60 AIM28 FCJ1 FMP13 YKR016W	540	MICOS complex [GO:0061617]; mitochondrial crista [GO:0030061]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P36113	HEL1_YEAST	HEL1 YKR017C	551	cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]
P36116	VPS51_YEAST	VPS51 API3 VPS67 WHI6 YKR020W	164	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]
P36117	ALY1_YEAST	ALY1 ART6 YKR021W	915	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; late endosome [GO:0005770]
P36118	NTR2_YEAST	NTR2 YKR022C	322	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type post-mRNA release spliceosomal complex [GO:0071008]
P36119	RQT4_YEAST	RQT4 YKR023W	530	cytoplasm [GO:0005737]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RQC-trigger complex [GO:0180022]
P36120	DBP7_YEAST	DBP7 YKR024C	742	nucleolus [GO:0005730]; nucleus [GO:0005634]
P36121	RPC5_YEAST	RPC37 YKR025W	282	nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]
P36122	BCH2_YEAST	BCH2 FMP50 YKR027W	765	exomer complex [GO:0034044]; mitochondrion [GO:0005739]; trans-Golgi network transport vesicle [GO:0030140]
P36123	SA190_YEAST	SAP190 YKR028W	1033	cytosol [GO:0005829]; nucleus [GO:0005634]; protein serine/threonine phosphatase complex [GO:0008287]
P36124	SET3_YEAST	SET3 YKR029C	751	nucleus [GO:0005634]; Rpd3L-Expanded complex [GO:0070210]; Set3 complex [GO:0034967]
P36126	SPO14_YEAST	SPO14 PLD1 YKR031C	1683	endosome [GO:0005768]; nucleus [GO:0005634]; prospore membrane [GO:0005628]
P36130	CAF4_YEAST	CAF4 YKR036C	643	CCR4-NOT complex [GO:0030014]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P36131	SPC34_YEAST	SPC34 YKR037C	295	DASH complex [GO:0042729]; mitotic spindle [GO:0072686]; spindle microtubule [GO:0005876]
P36132	KAE1_YEAST	KAE1 YKR038C	386	chromatin [GO:0000785]; cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P36135	UTH1_YEAST	UTH1 YKR042W	365	cell surface [GO:0009986]; fungal-type cell wall [GO:0009277]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]
P36136	SHB17_YEAST	SHB17 YKR043C	271	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36142	HFL1_YEAST	HFL1 YKR051W	418	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]
P36143	GLG1_YEAST	GLG1 YKR058W	616	cytoplasm [GO:0005737]; vacuole [GO:0005773]
P36146	LAS1_YEAST	LAS1 YKR063C	502	cytoplasm [GO:0005737]; Las1 complex [GO:0090730]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
P36148	GPT2_YEAST	GPT2 GAT1 YKR067W	743	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]
P36149	BET3_YEAST	BET3 YKR068C	193	cis-Golgi network membrane [GO:0033106]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; phagophore assembly site [GO:0000407]; TRAPP complex [GO:0030008]; TRAPPI protein complex [GO:1990070]; TRAPPII protein complex [GO:1990071]; TRAPPIII protein complex [GO:1990072]
P36152	DRE2_YEAST	DRE2 YKR071C	348	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic [4Fe-4S] assembly targeting complex [GO:0097361]; mitochondrial intermembrane space [GO:0005758]
P36156	GSTO2_YEAST	ECM4 GTO2 YKR076W	370	cytoplasm [GO:0005737]
P36160	RPF2_YEAST	RPF2 YKR081C YKR401	344	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]
P36161	NU133_YEAST	NUP133 RAT3 YKR082W YKR402	1157	chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; nucleus [GO:0005634]
P36162	DAD2_YEAST	DAD2 HSK1 YKR083C YKR403	133	DASH complex [GO:0042729]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole body [GO:0044732]
P36163	OMA1_YEAST	OMA1 YKR087C YKR407	345	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P36165	TGL4_YEAST	TGL4 STC1 YKR089C YKR409	910	lipid droplet [GO:0005811]
P36170	FLO10_YEAST	FLO10 YKR102W	1169	cell periphery [GO:0071944]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]
P36421	SYYC_YEAST	TYS1 MGM104 YGR185C G7522	394	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
P36516	RM03_YEAST	MRPL3 YMR024W YM9711.14	390	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36517	RM04_YEAST	MRPL4 YLR439W L9753.1	319	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36520	RM10_YEAST	MRPL10 MRPL18 YNL284C N0580	322	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36525	RM24_YEAST	MRPL24 MRPL14 YMR193W YM9646.05	258	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36528	RM17_YEAST	MRPL17 MRPL30 YNL252C N0864	281	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36531	RM36_YEAST	MRPL36 YBR122C YBR0918	177	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P36775	LONM_YEAST	PIM1 LON YBL022C YBL0440	1133	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P37012	PGM2_YEAST	PGM2 GA-5 GAL5 YMR105C YM9718.04C	569	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P37020	GEF1_YEAST	GEF1 CLCY1 YJR040W J1616	779	chloride channel complex [GO:0034707]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]
P37291	GLYC_YEAST	SHM2 SHMT2 YLR058C L2156	469	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P37292	GLYM_YEAST	SHM1 SHMT1 YBR263W YBR1732	490	mitochondrion [GO:0005739]
P37296	VPP2_YEAST	STV1 YMR054W YM9796.07	890	endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; late endosome [GO:0005770]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]
P37297	STT4_YEAST	STT4 YLR305C L2142.4	1900	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P37298	DHSD_YEAST	SDH4 ACN18 YDR178W YD9395.11	181	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273]
P37299	QCR10_YEAST	QCR10 YHR001W-A YHR001BW	77	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P37303	GLY1_YEAST	GLY1 YEL046C SYGP-ORF34	387	cytosol [GO:0005829]
P37366	CCL1_YEAST	CCL1 YPR025C YP9367.05C	393	mitochondrion [GO:0005739]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]
P37370	VRP1_YEAST	VRP1 END5 MDP2 YLR337C L8300.13	817	actin cortical patch [GO:0030479]; cellular bud neck [GO:0005935]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]
P37838	NOP4_YEAST	NOP4 NOP77 YPL043W	685	nucleolus [GO:0005730]; nucleus [GO:0005634]
P37898	AAP1_YEAST	AAP1 YHR047C	856	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]
